Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Log Work,Log Work,Log Work,Log Work,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify that the Wifi icon at the top of the page is accessible or not.,RE-125,10185,Test,Blocked By,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,08/Sep/21 7:12 AM,08/Sep/21 7:19 AM,08/Sep/21 7:19 AM,,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,,RE-36,,,,,,,,,,,,{},,,,,,,0|i000z3:,,Real Estate Sprint,,,,,,,,In Progress
Verify that the Google+ icon at the top of the page takes user to google+ login page.,RE-124,10184,Test,Blocked By,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,08/Sep/21 7:10 AM,08/Sep/21 7:17 AM,09/Sep/21 5:07 AM,,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-123,RE-36,,,,,,,,,,,,{},,,,,,,0|i000yv:,,Real Estate Sprint,,,,,,,,In Progress
Verify that the Twitter icon at the top of the page takes user to twitter login page.,RE-123,10183,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,08/Sep/21 7:08 AM,08/Sep/21 7:15 AM,08/Sep/21 7:15 AM,08/Sep/21 7:15 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-122,RE-36,,,,,,,,,,,,{},,,,,,,0|i000yn:,,Real Estate Sprint,,,,,,,,Done
Verify that the Facebook icon at the top of the page takes user to facebook login page.,RE-122,10182,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,08/Sep/21 7:06 AM,08/Sep/21 7:15 AM,08/Sep/21 7:14 AM,08/Sep/21 7:15 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,,RE-36,,,,,,,,,,,,{},,,,,,,0|i000yf:,,Real Estate Sprint,,,,,,,,Done
User is able to register even after entering more than 30 characters in Email field.,RE-121,10181,Bug,To Do,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,07/Sep/21 12:19 PM,07/Sep/21 12:26 PM,09/Sep/21 5:29 AM,,,0,"h3. The user is able to register even after entering more than 30 characters in the Email field.

h3. Steps to reproduce:

h3. 1. Go to the Real Estate website.

h3. 2. Click on the ‘Register’ tab.

h3. 3. Enter an Email address with more than 30 characters.

h3. Expected Result:

h3. The user is not able to register after entering more than 30 characters in the Email field.

h3. Actual Result:

h3. The user is able to register even after entering more than 30 characters in the Email field.

h3. Image where more than 30 characters are entered in the Email fields. 

!email.png|width=1024,height=471!

h3. Image showing registration successful.

!email1.png|width=1024,height=466!",,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,RE-113,RE-2,,,,,RE-113,,,07/Sep/21 12:24 PM;ug:040265ae-2042-47b9-801c-1ba4f87751fd;email.png;https://corporateola27.atlassian.net/secure/attachment/10021/email.png,07/Sep/21 12:24 PM;ug:040265ae-2042-47b9-801c-1ba4f87751fd;email1.png;https://corporateola27.atlassian.net/secure/attachment/10020/email1.png,,,,,,,,{},,,,,,,0|i000y7:,,Real Estate Sprint,,,,,,,,To Do
User is able to register even after entering more than 100 characters in First/Last Name field.,RE-120,10180,Bug,To Do,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,07/Sep/21 12:01 PM,08/Sep/21 4:10 AM,09/Sep/21 5:29 AM,,,0,"h3. The user is able to register even after entering more than 100 characters in the First/Last Name field.

h3. Steps to reproduce:

h3. 1. Go to the Real Estate website.

h3. 2. Click on the ‘Register’ tab.

h3. 3. Enter First and Last Name with more than 100 characters'

h3. Expected Result:

h3. The user is not able to register after entering more than 100 characters in the First/Last Name field.

h3. Actual Result:

h3. The user is able to register even after entering more than 100 characters in the First/Last Name field. 

h3. Image where more than 100 characters are entered in the First and Last Name fields.

!char.png|width=1024,height=464!

h3.  Image after registration.

!char1.png|width=1023,height=465!",,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,RE-114,RE-2,RE-116,,,,RE-113,RE-116,,07/Sep/21 12:07 PM;ug:040265ae-2042-47b9-801c-1ba4f87751fd;char.png;https://corporateola27.atlassian.net/secure/attachment/10019/char.png,07/Sep/21 12:07 PM;ug:040265ae-2042-47b9-801c-1ba4f87751fd;char1.png;https://corporateola27.atlassian.net/secure/attachment/10018/char1.png,,,,,,,,{},,,,,,,0|i000xz:,,Real Estate Sprint,,,,,,,,To Do
Verify 'Password' field with special characters.,RE-119,10177,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,07/Sep/21 11:12 AM,08/Sep/21 4:18 AM,09/Sep/21 5:29 AM,08/Sep/21 4:18 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-15,RE-3,,,,,,,,,,,,{},,,,,,,0|i000at:,,Real Estate Sprint,,,,,,,,Done
Verify 'Username' field with more than 100 characters.,RE-118,10176,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,07/Sep/21 11:08 AM,08/Sep/21 4:17 AM,09/Sep/21 5:29 AM,08/Sep/21 4:17 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-15,RE-3,,,,,,,,,,,,{},,,,,,,0|i000ar:,,Real Estate Sprint,,,,,,,,Done
Verify 'Last Name' field with null input.,RE-117,10175,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,07/Sep/21 11:06 AM,08/Sep/21 4:11 AM,09/Sep/21 5:29 AM,08/Sep/21 4:11 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-115,RE-2,,,,,,,,,,,,{},,,,,,,0|i000an:,,Real Estate Sprint,,,,,,,,Done
Verify 'Last Name' field with more than 100 characters.,RE-116,10174,Test,Blocked By,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,07/Sep/21 11:05 AM,08/Sep/21 4:10 AM,09/Sep/21 5:29 AM,,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-114,RE-2,,,,,,,,,,,,{},,,,,,,0|i000af:,,Real Estate Sprint,,,,,,,,In Progress
Verify 'First Name' field with null input.,RE-115,10173,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,07/Sep/21 11:03 AM,08/Sep/21 4:03 AM,09/Sep/21 5:29 AM,08/Sep/21 4:03 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-10,RE-2,,,,,,,,,,,,{},,,,,,,0|i0009z:,,Real Estate Sprint,,,,,,,,Done
Verify 'First Name' field with more than 100 characters.,RE-114,10172,Test,Blocked By,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,07/Sep/21 11:01 AM,07/Sep/21 12:27 PM,09/Sep/21 5:29 AM,,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-113,RE-2,,,,,,,,,,,,{},,,,,,,0|i00094:,,Real Estate Sprint,,,,,,,,In Progress
